Case,Action,Class Accuracy,F1 Score
both_arms,carry,0.0,0.0
both_arms,clapHands,0.0,0.0
both_arms,pickUp,0.0,0.0
both_arms,pull,0.0,0.0
both_arms,push,0.0,0.0
both_arms,sitDown,0.1802,0.227
both_arms,standUp,0.1129,0.1216
both_arms,throw,0.0,0.0
both_arms,walk,0.9389,0.9222
both_arms,waveHands,0.0,0.0
both_legs,carry,0.0,0.0
both_legs,clapHands,0.0,0.0
both_legs,pickUp,0.0,0.0
both_legs,pull,0.0,0.0
both_legs,push,0.0,0.0
both_legs,sitDown,0.1726,0.2523
both_legs,standUp,0.0544,0.0787
both_legs,throw,0.0,0.0
both_legs,walk,0.9725,0.938
both_legs,waveHands,0.0,0.0
left_arm,carry,0.0,0.0
left_arm,clapHands,0.0,0.0
left_arm,pickUp,0.0,0.0
left_arm,pull,0.0,0.0
left_arm,push,0.0,0.0
left_arm,sitDown,0.1003,0.1479
left_arm,standUp,0.0,0.0
left_arm,throw,0.0,0.0
left_arm,walk,0.9801,0.938
left_arm,waveHands,0.0,0.0
left_arm_leg,carry,0.0,0.0
left_arm_leg,clapHands,0.0,0.0
left_arm_leg,pickUp,0.0,0.0
left_arm_leg,pull,0.0,0.0
left_arm_leg,push,0.0,0.0
left_arm_leg,sitDown,0.014,0.0227
left_arm_leg,standUp,0.0202,0.0378
left_arm_leg,throw,0.0,0.0
left_arm_leg,walk,0.9832,0.9372
left_arm_leg,waveHands,0.0,0.0
left_leg,carry,0.0,0.0
left_leg,clapHands,0.0,0.0
left_leg,pickUp,0.0,0.0
left_leg,pull,0.0,0.0
left_leg,push,0.0,0.0
left_leg,sitDown,0.0076,0.0134
left_leg,standUp,0.0,0.0
left_leg,throw,0.0,0.0
left_leg,walk,0.9929,0.9423
left_leg,waveHands,0.0,0.0
right_arm,carry,0.0,0.0
right_arm,clapHands,0.0,0.0
right_arm,pickUp,0.0,0.0
right_arm,pull,0.0,0.0
right_arm,push,0.0,0.0
right_arm,sitDown,0.0939,0.1495
right_arm,standUp,0.0,0.0
right_arm,throw,0.0,0.0
right_arm,walk,0.9896,0.943
right_arm,waveHands,0.0,0.0
right_arm_leg,carry,0.0,0.0
right_arm_leg,clapHands,0.0,0.0
right_arm_leg,pickUp,0.0,0.0
right_arm_leg,pull,0.0,0.0
right_arm_leg,push,0.0,0.0
right_arm_leg,sitDown,0.1485,0.2257
right_arm_leg,standUp,0.0423,0.0699
right_arm_leg,throw,0.0,0.0
right_arm_leg,walk,0.984,0.9438
right_arm_leg,waveHands,0.0,0.0
right_leg,carry,0.0,0.0
right_leg,clapHands,0.0,0.0
right_leg,pickUp,0.0,0.0
right_leg,pull,0.0,0.0
right_leg,push,0.0,0.0
right_leg,sitDown,0.1523,0.1783
right_leg,standUp,0.0202,0.0364
right_leg,throw,0.0,0.0
right_leg,walk,0.9616,0.9329
right_leg,waveHands,0.0,0.0
