,MSE,MSE,MSE,MAE,MAE,MAE,WAcc,WAcc,WAcc
Set,Test,Train,Val,Test,Train,Val,Test,Train,Val
Case,,,,,,,,,
both_arms,0.072103366,0.045834847,0.03534787,0.20249115,0.15383911,0.139039,0.6361929,0.656687,0.65537935
both_legs,0.032266818,0.025015984,0.02040556,0.12895958,0.11237986,0.10395199,0.71772164,0.7166461,0.7185231
left_arm,0.05913608,0.039916575,0.03197374,0.177482,0.1410932,0.12860055,0.65339345,0.68259245,0.6789409
left_arm_leg,0.063153796,0.038780477,0.028737344,0.19047993,0.13781671,0.121722884,0.64762884,0.68761337,0.69992083
left_leg,0.019396162,0.017318273,0.015684163,0.09762488,0.09265519,0.08801492,0.7564373,0.74618345,0.74683934
right_arm,0.025269097,0.019708876,0.018205902,0.10917869,0.096844025,0.09213723,0.7490914,0.7431203,0.7481349
right_arm_leg,0.06451138,0.041279327,0.035061363,0.1833213,0.14577171,0.13655315,0.66627973,0.67240226,0.6751412
right_leg,0.026822364,0.020537458,0.018107582,0.11502297,0.09895357,0.09376445,0.7417628,0.742079,0.74363613
